PIANO 1
-------
HV	COUNTS	ERR
1746	4903	70.021
1739	4819	69.419
1733	4302	65.59
1727	4121	640195
1722	3734	61.106
1717	3414	58.4
1714	3288	57.3
1750	5512	74.2
1754	5653	75.1
1759	5980	77.3
1764	6171	78.6
1768	6531	80.8
1745	5064	71.1
1744	4886	69.9
>>>
PIANO 2
-------
HV	COUNTS	ERR
1746	6048	77.7
1739	5439	73.7
1733	5244	72.4
1727	4915	70.1
1722	4414	66.4
1717	4178	64.6
1714	3758	61.3
1750	6428	80.2
1754	6983	83.5
1759	7312	85.5
1764	8306	91.1
1768	8926	94.5
1745	5680	75.4
1744	6257	79.1
>>>
PIANO 3
-------
HV	COUNTS	ERR
1746	5453	73.8
1739	5091	71.3
1733	4980	70.6
1727	4749	68.9
1722	4515	67.2
1717	4284	65.4
1714	3853	62.1
1750	6002	77.5
1754	6203	78.8
1759	6715	81.9
1764	7223	85.0
1768	7886	88.8
1745	5671	75.3
1744	5771	75.9
>>>
PIANO 4
-------
HV	COUNTS	ERR
1746	6619	81.3
1739	6177	78.6
1733	5714	75.6
1727	5327	73.0
1722	5218	72.2
1717	4717	68.7
1714	4436	66.6
1750	7443	86.3
1754	7802	88.3
1759	8291	91.1
1764	8760	93.5
1768	9569	97.8
1745	6500	80.6
1744	6183	78.6
>>>
PIANO 5
-------
HV	COUNTS	ERR
1746	4012	63.3
1739	3725	61.0
1733	3567	59.7
1727	3161	56.2
1722	2988	54.6
1717	2632	51.3
1714	2395	48.9
1750	4431	66.6
1754	4856	69.7
1759	5059	71.2
1764	5450	73.8
1768	5922	77.0
1745	4340	65.9
1744	4185	64.6
>>>
PIANO 6
-------
HV	COUNTS	ERR
1746	2790	52.8
1739	2671	51.7
1733	2575	50.7
1727	2268	47.6
1722	1986	44.6
1717	1819	42.7
1714	1684	41.0
1750	3148	56.1
1754	3273	57.2
1759	3446	58.7
1764	3575	59.8
1768	3732	61.1
1745	2783	52.8
1744	2782	52.7
>>>
PIANO 7
-------
HV	COUNTS	ERR
1746	1503	38.7
1739	1300	36.1
1733	1146	33.9
1727	903	30.1
1722	842	29.0
1717	721	26.9
1714	543	23.3
1750	1812	42.6
1754	1948	44.1
1759	2061	45.4
1764	2197	46.8
1768	2354	48.5
1745	2090	45.7
1744	1938	44.0
>>>
